school activities;школьная деятельность
take part in school activities ;принимать участие в школьных мероприятиях
have school traditions ;иметь школьные традиции
choir ;хор
club ;кружок
Drama Club ;театральный кружок
go hiking ;ходить в поход
go on excursion to;ездить на экскурсию в…..
performe in school theatre ;играть в школьном театре
trip to…;поездка в …
do well/ badly ;учиться хорошо/ плохо
solve problems in mathematics, physics ;решать задачи по математике, физике
prove theorems ;доказывать теоремы
do equations ;решать уравнения
do experiments in the lab ;делать опыты в лаборатории
swot smth;зубрить
make smth out;понимать, разбираться в чем
cheat; списывать, пользоваться шпаргалками
prompt;подсказывать
work by fits and starts ; заниматься урывками
studies ; занятия
exams ; экзамены
extra lessons ; дополнительные занятия
private lessons ; частные уроки
take lessons ; брать уроки
give lessons ; давать уроки
take an exam in Maths ; сдавать экзамен по математике
fail an exam ; провалить экзамен
pass an exam ; сдать экзамен
weak point; слабое место
poor memory ; плохая память
can’t remember dates ; не запоминать даты, слова, формулы
fail to retell texts; не получается пересказывать тексты
punish ; наказывать
punishment ; наказание
timetable ; расписание
curriculum ; учебный план
term; четверть
academic year; учебный год
at the end of each term… ; в конце четверти
obligatory ; обязательный
optional; факультативный
lesson of Chemistry ; урок химии
learn ; изучать различные предметы
advanced mathematics; углубленный курс математики
Science ; точные науки
The Humanities ; предметы гуманитарного цикла
study Science/ the Humanities ; изучать предметы научного / гуманитарного цикла
attend the optional ; необязательный, факультативный
headmaster ; директор
director of studies ; завуч
form mistress ; классная руководительница
librarian ; библиотекарь
nurse ; медсестра
security guard ; охранник
pupil ; ученик начальной школы
student ; учащийся
schoolboy ; школьник
junior pupils; ученики младших классов
senior students;старшеклассники
attend lessons and classes ; посещать уроки и занятия
enter school ; поступить в школу
leave ; закончить школу
miss school ; пропускать школу
change school ; поменять школу
classroom ; кабинет
classroom of Russian ;classroom of Russian
computer classroom; кабинет информатики
on the ground ; на первом этаже
sick room ; медпункт
school office ; канцелярия
canteen; буфет
recreation ; рекреация
assembly hall; актовый зал
workshop; мастерская
headmaster’s office ; кабинет директора
laboratory; лаборатория
library; библиотека
entrance hall; вестибюль
school museum; школьный музей
aquarium ; аквариум
diploma ; грамота
palm ; пальма
poster ; плакат
stand ; стенд
primary school; начальная школа
secondary ; средняя школа
higher school; высшее учебное заведение
comprehensive school; общеобразовательная школа
a school, specializing in ; школа, специализирующаяся на
gymnasium ; гимназия
lyceum; лицей
technical school ; техникум
college ;колледж
